1.266823e+00,-2.560162e+01,1.432935e+01,1.458673e-01
1.866829e+00,-2.537244e+01,1.470017e+01,1.465469e-01
1.583344e+00,-2.549245e+01,1.509444e+01,1.465742e-01
1.877625e+00,-2.512562e+01,1.568588e+01,1.473082e-01
2.410294e+00,-2.466145e+01,1.469272e+01,1.472265e-01
2.352005e+00,-2.435805e+01,1.539270e+01,1.478079e-01
2.666496e+00,-2.396146e+01,1.487347e+01,1.478674e-01
2.716263e+00,-2.440315e+01,1.408435e+01,1.471481e-01
3.157410e+00,-2.356486e+01,1.444086e+01,1.480774e-01
3.444565e+00,-2.404172e+01,1.359183e+01,1.474251e-01
3.104332e+00,-2.497407e+01,1.350430e+01,1.466780e-01
2.844276e+00,-2.557407e+01,1.345435e+01,1.461814e-01
3.444283e+00,-2.534489e+01,1.308353e+01,1.463902e-01
3.073463e+00,-2.594488e+01,1.285434e+01,1.457240e-01
2.473457e+00,-2.599485e+01,1.311440e+01,1.455438e-01
1.874008e+00,-2.575023e+01,1.381367e+01,1.457931e-01
1.873451e+00,-2.594488e+01,1.285434e+01,1.450926e-01
1.291100e+00,-2.551194e+01,1.363385e+01,1.454986e-01
1.402283e+00,-2.552992e+01,1.264230e+01,1.449341e-01
1.873451e+00,-2.594488e+01,1.211270e+01,1.446327e-01
1.567810e+00,-2.532337e+01,1.177480e+01,1.445924e-01
1.023888e+00,-2.480965e+01,1.234708e+01,1.449302e-01
1.276558e+00,-2.447948e+01,1.144580e+01,1.446767e-01
5.812070e-01,-2.359084e+01,1.213779e+01,1.452003e-01
4.267270e-01,-2.417639e+01,1.292740e+01,1.453040e-01
2.959980e-01,-2.477244e+01,1.372934e+01,1.454158e-01
5.856300e-02,-2.389648e+01,1.333179e+01,1.455031e-01
-1.413420e-01,-2.443282e+01,1.443318e+01,1.457916e-01
2.460400e-01,-2.503250e+01,1.432935e+01,1.456200e-01
6.668170e-01,-2.537244e+01,1.395853e+01,1.454384e-01
6.324160e-01,-2.546943e+01,1.474695e+01,1.458530e-01
2.147980e-01,-2.479371e+01,1.500507e+01,1.461479e-01
